t,x,y,yaw
5.866667,-2.519616,-6.495024,-8.117685
5.900000,-2.546816,-6.496025,-8.128369
5.933333,-2.558673,-6.501244,-8.138059
5.966667,-2.557181,-6.510404,-8.148462
6.000000,-2.542433,-6.523793,-8.159520
6.033333,-2.525944,-6.537996,-8.172114
6.066667,-2.511525,-6.551755,-8.184619
6.100000,-2.487841,-6.568997,-8.194807
6.133333,-2.454912,-6.589830,-8.202550
6.166667,-2.412758,-6.614366,-8.209422
6.200000,-2.367047,-6.640642,-8.216962
6.233333,-2.323419,-6.666590,-8.225640
6.266667,-2.287459,-6.689977,-8.235117
6.300000,-2.272071,-6.705342,-8.245341
6.333333,-2.277090,-6.712262,-8.256363
6.366667,-2.285849,-6.717521,-8.266988
6.400000,-2.285547,-6.726796,-8.277147
6.433333,-2.281710,-6.737759,-8.287957
6.466667,-2.279801,-6.747908,-8.300016
6.500000,-2.283396,-6.755426,-8.311733
6.533333,-2.288865,-6.762001,-8.320893
6.566667,-2.287276,-6.772177,-8.327282
6.600000,-2.276873,-6.786964,-8.332671
6.633333,-2.248844,-6.811108,-8.337837
6.666667,-2.210361,-6.841060,-8.343639
6.700000,-2.168570,-6.873205,-8.350936
6.733333,-2.125277,-6.906645,-8.358744
6.766667,-2.075224,-6.944255,-8.364883
6.800000,-2.018389,-6.986020,-8.369286
6.833333,-1.953043,-7.032974,-8.373293
6.866667,-1.884476,-7.082284,-8.378611
6.900000,-1.817950,-7.131036,-8.385197
6.933333,-1.760372,-7.175165,-8.392784
6.966667,-1.723673,-7.207318,-8.401832
7.000000,-1.707646,-7.227127,-8.411360
7.033333,-1.698549,-7.242779,-8.419994
7.066667,-1.684533,-7.261742,-8.427078
7.100000,-1.667303,-7.282991,-8.433914
7.133333,-1.651899,-7.303273,-8.441888
7.166667,-1.643281,-7.319191,-8.450133
7.200000,-1.634774,-7.335150,-8.456152
7.233333,-1.618119,-7.356819,-8.459653
7.266667,-1.591687,-7.385397,-8.462623
7.300000,-1.550581,-7.424356,-8.464896
7.333333,-1.496483,-7.472624,-8.467286
7.366667,-1.439292,-7.523410,-8.470965
7.400000,-1.383947,-7.573288,-8.475392
7.433333,-1.325522,-7.625672,-8.478515
7.466667,-1.262303,-7.681621,-8.479581
7.500000,-1.189376,-7.744609,-8.479791
7.533333,-1.111676,-7.811232,-8.481275
7.566667,-1.034180,-7.878115,-8.484501
7.600000,-0.961809,-7.941795,-8.489030
7.633333,-0.909050,-7.991566,-8.495109
7.666667,-0.874154,-8.028405,-8.501484
7.700000,-0.847421,-8.059367,-8.507401
7.733333,-0.817685,-8.092908,-8.512438
7.766667,-0.784959,-8.129049,-8.517159
7.800000,-0.755577,-8.162909,-8.523114
7.833333,-0.732655,-8.191960,-8.529623
7.866667,-0.712995,-8.218596,-8.534489
7.900000,-0.688756,-8.249049,-8.536726
7.933333,-0.659928,-8.283338,-8.538584
7.966667,-0.615668,-8.330325,-8.539788
8.000000,-0.559063,-8.387475,-8.540396
8.033333,-0.499483,-8.447297,-8.542536
8.066667,-0.441633,-8.506046,-8.545850
8.100000,-0.379326,-8.568774,-8.548355
8.133333,-0.310931,-8.636663,-8.549085
8.166667,-0.234861,-8.710951,-8.549069
8.200000,-0.154275,-8.789192,-8.550355
8.233333,-0.075457,-8.866412,-8.553549
8.266667,-0.004578,-8.937494,-8.557700
8.300000,0.046197,-8.992027,-8.562981
8.333333,0.078543,-9.031114,-8.568457
8.366667,0.097173,-9.058472,-8.572433
8.400000,0.117256,-9.087157,-8.573704
8.433333,0.140301,-9.118514,-8.575166
8.466667,0.163257,-9.149956,-8.578410
8.500000,0.184605,-9.180153,-8.582095
8.533333,0.207367,-9.211725,-8.584355
8.566667,0.237579,-9.249939,-8.583879
8.600000,0.276793,-9.296095,-8.582491
8.633333,0.328061,-9.352790,-8.580369
8.666667,0.394446,-9.422609,-8.577981
8.700000,0.465373,-9.496378,-8.577490
8.733333,0.531760,-9.566231,-8.578235
8.766667,0.599689,-9.637349,-8.577473
8.800000,0.670840,-9.710871,-8.574231
8.833333,0.748370,-9.789292,-8.569453
8.866667,0.827794,-9.868640,-8.564608
8.900000,0.904526,-9.945046,-8.560222
8.933333,0.976938,-10.017325,-8.556914
8.966667,1.040293,-10.081774,-8.555601
9.000000,1.089871,-10.134655,-8.556391
9.033333,1.133315,-10.182390,-8.556930
9.066667,1.182893,-10.235254,-8.556215
9.100000,1.234016,-10.289397,-8.555910
9.133333,1.282054,-10.340998,-8.556642
9.166667,1.323941,-10.387474,-8.557678
9.200000,1.364329,-10.432611,-8.556837
9.233333,1.407937,-10.480147,-8.552914
9.266667,1.456399,-10.531281,-8.547633
9.300000,1.514409,-10.589769,-8.542153
9.333333,1.588253,-10.660559,-8.536711
9.366667,1.667075,-10.734808,-8.532480
9.400000,1.746136,-10.808816,-8.529354
9.433333,1.828597,-10.885018,-8.525661
9.466667,1.919321,-10.966942,-8.520236
9.500000,2.016866,-11.053204,-8.514031
9.533333,2.118069,-11.141356,-8.508434
9.566667,2.218068,-11.227867,-8.504122
9.600000,2.311978,-11.309227,-8.500784
9.633333,2.390101,-11.378350,-8.498361
9.666667,2.447508,-11.431796,-8.497210
9.700000,2.495387,-11.477960,-8.495527
9.733333,2.548252,-11.527499,-8.491628
9.766667,2.607766,-11.581555,-8.487533
9.800000,2.665825,-11.634271,-8.484710
9.833333,2.717514,-11.682184,-8.482984
9.866667,2.764496,-11.726392,-8.479418
9.900000,2.815019,-11.772576,-8.472502
9.933333,2.874117,-11.824054,-8.464054
9.966667,2.946874,-11.884033,-8.454918
10.000000,3.036775,-11.954503,-8.445793
10.033333,3.133920,-12.028665,-8.437777
