t,x,y,yaw
7.966667,1.978395,0.203418,0.156238
8.000000,1.986586,0.204975,0.156891
8.033333,1.994776,0.206538,0.157575
8.066667,2.002964,0.208104,0.158054
8.100000,2.011152,0.209676,0.158704
8.133333,2.019339,0.211252,0.159357
8.166667,2.027526,0.212830,0.159681
8.200000,2.035711,0.214413,0.160260
8.233333,2.043896,0.216001,0.160971
8.266667,2.052080,0.217593,0.161448
8.300000,2.060263,0.219188,0.161956
8.333333,2.068445,0.220788,0.162773
8.366667,2.076627,0.222389,0.163136
8.400000,2.084809,0.223992,0.163666
8.433333,2.092989,0.225600,0.164320
8.466667,2.101170,0.227208,0.164843
8.500000,2.109349,0.228818,0.165350
8.533333,2.117528,0.230433,0.165992
8.566667,2.125706,0.232053,0.166655
8.600000,2.133884,0.233677,0.167168
8.633333,2.142060,0.235304,0.167698
8.666667,2.150236,0.236935,0.168288
8.700000,2.158410,0.238571,0.168868
8.733333,2.166584,0.240211,0.169428
8.766667,2.174757,0.241856,0.170042
8.800000,2.182929,0.243503,0.170501
8.833333,2.191100,0.245156,0.171114
8.866667,2.199271,0.246810,0.171760
8.900000,2.207442,0.248465,0.172263
8.933333,2.215612,0.250122,0.172782
8.966667,2.223782,0.251780,0.173400
9.000000,2.231951,0.253441,0.173992
9.033333,2.240120,0.255104,0.174532
9.066667,2.248288,0.256770,0.175105
9.100000,2.256455,0.258438,0.175661
9.133333,2.264622,0.260110,0.176276
9.166667,2.272788,0.261786,0.176922
9.200000,2.280953,0.263464,0.177396
9.233333,2.289118,0.265145,0.177932
9.266667,2.297281,0.266830,0.178547
9.300000,2.305444,0.268519,0.179139
9.333333,2.313607,0.270212,0.179625
9.366667,2.321768,0.271908,0.180254
9.400000,2.329930,0.273603,0.181001
9.433333,2.338092,0.275294,0.181407
9.466667,2.346257,0.276972,0.180826
9.500000,2.354422,0.278643,0.181383
9.533333,2.362590,0.280307,0.181288
9.566667,2.370757,0.281969,0.182288
9.600000,2.378924,0.283633,0.183763
9.633333,2.387093,0.285283,0.183725
9.666667,2.395265,0.286922,0.183768
9.700000,2.403436,0.288558,0.184867
9.733333,2.411609,0.290189,0.185641
9.766667,2.419784,0.291811,0.185856
9.800000,2.427959,0.293426,0.186301
9.833333,2.436137,0.295031,0.186756
9.866667,2.444316,0.296625,0.186952
9.900000,2.452496,0.298217,0.188054
9.933333,2.460676,0.299807,0.189090
9.966667,2.468858,0.301390,0.189589
10.000000,2.477042,0.302963,0.190104
10.033333,2.485227,0.304526,0.190512
10.066667,2.493414,0.306081,0.190972
10.100000,2.501602,0.307631,0.191670
10.133333,2.509791,0.309178,0.192491
10.166667,2.517981,0.310714,0.192998
10.200000,2.526174,0.312241,0.193505
10.233333,2.534368,0.313761,0.194121
10.266667,2.542563,0.315277,0.195001
10.300000,2.550760,0.316784,0.195454
10.333333,2.558958,0.318283,0.196228
10.366667,2.567158,0.319776,0.197279
10.400000,2.575360,0.321259,0.197757
10.433333,2.583564,0.322731,0.197914
10.466667,2.591768,0.324205,0.199453
10.500000,2.599973,0.325670,0.200270
10.533333,2.608186,0.327101,0.200177
10.566667,2.616421,0.328403,0.187417
10.600000,2.624682,0.329525,0.162195
10.633333,2.632942,0.330640,0.153729
10.666667,2.641154,0.332061,0.184679
10.700000,2.649296,0.333839,0.229241
10.733333,2.657444,0.335594,0.229151
10.766667,2.665597,0.337320,0.222616
10.800000,2.673735,0.339114,0.224307
10.833333,2.681817,0.341146,0.249954
10.866667,2.689898,0.343185,0.255415
10.900000,2.698074,0.344802,0.213556
