t,x,y,yaw
38.850586,0.093482,1.317626,-1.801668
38.937500,0.087080,1.290387,-1.802822
39.024414,0.080671,1.263263,-1.803789
39.111328,0.074263,1.236258,-1.804560
39.198242,0.067863,1.209381,-1.805130
39.285156,0.061478,1.182637,-1.805491
39.372070,0.055117,1.156033,-1.805634
39.458984,0.048787,1.129574,-1.805552
39.545898,0.042495,1.103268,-1.805236
39.632812,0.036250,1.077120,-1.804678
39.719727,0.030060,1.051136,-1.803868
39.806641,0.023932,1.025322,-1.802798
39.893555,0.017875,0.999685,-1.801457
39.980469,0.011897,0.974228,-1.799835
40.067383,0.006006,0.948959,-1.797922
40.154297,0.000210,0.923882,-1.795707
40.241211,-0.005482,0.899003,-1.793177
40.328125,-0.011061,0.874326,-1.790322
40.415039,-0.016521,0.849858,-1.787128
40.501953,-0.021851,0.825603,-1.783582
40.588867,-0.027045,0.801566,-1.779670
40.675781,-0.032093,0.777752,-1.775378
40.762695,-0.036987,0.754164,-1.770691
40.849609,-0.041718,0.730809,-1.765592
40.936523,-0.046280,0.707689,-1.760066
41.023438,-0.050663,0.684810,-1.754094
41.110352,-0.054859,0.662176,-1.747659
41.197266,-0.058860,0.639789,-1.740741
41.284180,-0.062658,0.617655,-1.733321
41.371094,-0.066245,0.595777,-1.725377
41.458008,-0.069614,0.574158,-1.716889
41.544922,-0.072756,0.552803,-1.707833
41.631836,-0.075664,0.531714,-1.698186
41.718750,-0.078331,0.510894,-1.687924
41.805664,-0.080749,0.490347,-1.677021
41.892578,-0.082910,0.470076,-1.665452
41.979492,-0.084808,0.450084,-1.653190
42.066406,-0.086436,0.430372,-1.640208
42.153320,-0.087787,0.410945,-1.626477
42.240234,-0.088854,0.391803,-1.611969
42.327148,-0.089630,0.372951,-1.596656
42.414062,-0.090110,0.354389,-1.580509
42.500977,-0.090288,0.336121,-1.563501
42.587891,-0.090157,0.318147,-1.545603
42.674805,-0.089711,0.300470,-1.526789
42.761719,-0.088946,0.283092,-1.507035
42.848633,-0.087856,0.266014,-1.486317
42.935547,-0.086435,0.249238,-1.464615
43.022461,-0.084679,0.232765,-1.441912
43.109375,-0.082584,0.216597,-1.418194
43.196289,-0.080144,0.200734,-1.393454
43.283203,-0.077356,0.185178,-1.367689
43.370117,-0.074216,0.169931,-1.340901
43.457031,-0.070720,0.154991,-1.313103
43.543945,-0.066864,0.140362,-1.284313
43.630859,-0.062646,0.126042,-1.254557
43.717773,-0.058062,0.112034,-1.223875
43.804688,-0.053110,0.098337,-1.192311
43.891602,-0.047787,0.084951,-1.159922
43.978516,-0.042091,0.071878,-1.126777
44.065430,-0.036021,0.059117,-1.092950
44.152344,-0.029574,0.046668,-1.058528
44.239258,-0.022749,0.034532,-1.023604
44.326172,-0.015546,0.022709,-0.988280
44.413086,-0.007963,0.011198,-0.952661
44.500000,0.000000,0.000000,0.000000
