lap_index,phase,raw_x,raw_y,aligned_x,aligned_y,projected_x,projected_y,kept,phase_shift,scale,alignment_rmse,projection_rmse,t0,t1
0,0.208984,2.778795,0.360027,-0.184465,-0.700610,0.721979,0.344745,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.210938,2.804095,0.366999,-0.169798,-0.697274,0.734321,0.349403,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.212891,2.829801,0.372273,-0.155449,-0.692756,0.746584,0.354237,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.214844,2.855562,0.377284,-0.141210,-0.687901,0.758773,0.359251,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.216797,2.881143,0.383089,-0.126681,-0.684003,0.770990,0.364327,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.218750,2.906836,0.388395,-0.112112,-0.680255,0.783256,0.369439,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.220703,2.932756,0.392506,-0.097672,-0.676058,0.795553,0.374598,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.222656,2.958739,0.396207,-0.083151,-0.672143,0.807865,0.379816,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.224609,2.984707,0.400012,-0.068460,-0.668904,0.820177,0.385106,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.226562,3.010680,0.403790,-0.053718,-0.665898,0.832473,0.390478,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.228516,3.036703,0.407194,-0.038989,-0.662832,0.844735,0.395946,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.230469,3.062810,0.409882,-0.024256,-0.659782,0.856947,0.401521,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.232422,3.088952,0.412217,-0.009481,-0.656944,0.869095,0.407216,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.234375,3.114966,0.415641,0.005366,-0.654513,0.881160,0.413042,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.236328,3.140741,0.420564,0.020245,-0.652283,0.893128,0.419011,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.238281,3.165899,0.428010,0.035014,-0.649434,0.904981,0.425135,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.240234,3.190361,0.437508,0.049594,-0.645735,0.916704,0.431426,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.242188,3.214385,0.448072,0.063736,-0.640614,0.928280,0.437897,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.244141,3.238024,0.459473,0.077408,-0.634342,0.939694,0.444559,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.246094,3.261306,0.471586,0.090795,-0.627476,0.950928,0.451425,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.248047,3.284376,0.484100,0.103931,-0.620144,0.961967,0.458505,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.250000,3.307270,0.496934,0.116840,-0.612416,0.972795,0.465813,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.251953,3.330073,0.509928,0.129613,-0.604466,0.983395,0.473360,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.253906,3.352767,0.523113,0.142274,-0.596339,0.993751,0.481159,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.255859,3.375375,0.536443,0.154878,-0.588123,1.003847,0.489220,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.257812,3.397988,0.549766,0.167413,-0.579803,1.013745,0.497550,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.259766,3.420607,0.563077,0.179894,-0.571402,1.023517,0.506136,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.261719,3.443283,0.576292,0.192378,-0.563005,1.033156,0.514968,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.263672,3.466013,0.589414,0.204866,-0.554614,1.042656,0.524035,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.265625,3.488809,0.602422,0.217390,-0.546276,1.052013,0.533326,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.267578,3.511715,0.615233,0.229948,-0.537990,1.061220,0.542830,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.269531,3.534560,0.628154,0.242547,-0.529767,1.070273,0.552536,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
0,0.271484,3.557023,0.641725,0.255217,-0.521653,1.079165,0.562433,1,510,0.573245,0.411925,1.100424,0.000000,51.400000
