t,x,y,yaw
13.900000,2.852034,0.023784,5.596233
13.933333,2.858834,0.018967,5.666852
13.966667,2.865115,0.013490,5.566115
14.000000,2.871056,0.007647,5.506070
14.033333,2.877327,0.002158,5.564142
14.066667,2.884299,-0.002405,5.703724
14.100000,2.891933,-0.005747,5.870521
14.133333,2.899777,-0.008563,5.938559
14.166667,2.907776,-0.010896,5.999318
14.200000,2.915727,-0.013392,5.979054
14.233333,2.923778,-0.015544,6.021948
14.266667,2.931791,-0.017833,6.004960
14.300000,2.940039,-0.019022,6.140069
14.333333,2.948348,-0.018390,6.359020
14.366667,2.956151,-0.015463,6.642099
14.400000,2.961480,-0.009057,7.160100
14.433333,2.960758,-0.000755,7.940749
14.466667,2.956090,0.006149,8.448553
14.500000,2.950007,0.011845,8.672183
14.533333,2.943106,0.016515,8.829802
14.566667,2.935449,0.019804,9.019136
14.600000,2.927340,0.021723,9.192388
14.633333,2.919006,0.021760,9.420359
14.666667,2.910894,0.019853,9.655592
14.700000,2.904113,0.015009,10.045153
14.733333,2.900138,0.007685,10.498275
14.766667,2.898190,-0.000418,10.759644
14.800000,2.898095,-0.008750,10.984153
14.833333,2.899890,-0.016888,11.212622
14.866667,2.902467,-0.024813,11.310032
14.900000,2.905466,-0.032588,11.363648
14.933333,2.908609,-0.040306,11.382383
14.966667,2.911667,-0.048058,11.371332
15.000000,2.917332,-0.054169,11.743047
15.033333,2.925473,-0.055948,12.351290
15.066667,2.933180,-0.059118,12.176096
15.100000,2.939962,-0.063961,11.946179
15.133333,2.942946,-0.071742,11.361812
15.166667,2.937207,-0.077785,10.236011
15.200000,2.929021,-0.076229,9.236965
15.233333,2.925221,-0.068812,8.327432
15.266667,2.926839,-0.060638,7.658615
15.300000,2.930944,-0.053386,7.338813
15.333333,2.935860,-0.046656,7.223134
15.366667,2.939768,-0.039297,7.365809
15.400000,2.940169,-0.030973,7.805897
15.433333,2.939160,-0.022701,7.975339
15.466667,2.930915,-0.021490,9.278918
15.500000,2.932787,-0.029610,11.222101
15.533333,2.925470,-0.025621,8.925621
15.566667,2.918957,-0.030820,10.098448
15.600000,2.918106,-0.039110,10.893290
15.633333,2.918729,-0.047420,11.070350
15.666667,2.922393,-0.054904,11.450895
